sample_index,status,elapsed_seconds
0,sat,4.271312
1,unsat,3.529835
2,timeout,3603.784092
3,timeout,3603.972126
4,sat,25.069724
5,unsat,4.789601
6,timeout,3603.891000
7,unsat,3.224880
8,sat,22.164893
9,unsat,5.952839
10,unsat,392.957857
11,sat,1389.494619
12,unsat,3.358377
13,unsat,76.946929
14,sat,3135.943575
15,sat,6.091248
16,sat,241.905723
17,unsat,1650.757014
18,timeout,3603.837175
19,sat,3452.573045
20,unsat,3.416179
21,unsat,49.500642
22,timeout,3603.705019
23,timeout,3603.651345
24,sat,4.281091
25,unsat,74.713215
26,timeout,3603.767743
27,unsat,3.429616
28,sat,4.096311
29,sat,49.027867
30,timeout,3603.831127
31,unsat,4.959327
32,timeout,3603.776540
33,timeout,3603.666823
34,unsat,80.065840
35,timeout,3603.748431
36,timeout,3603.726277
37,unsat,3.374698
38,timeout,3603.679930
39,sat,4.199053
40,sat,307.213784
41,unsat,14.573169
42,sat,4.822766
43,timeout,3603.763555
44,timeout,3603.767865
45,unsat,162.670713
46,unsat,247.504296
47,unsat,3.515358
48,sat,1508.086194
49,unsat,206.122768
50,timeout,3603.583821
