sample_index,status,elapsed_seconds
0,unsat,43.834
1,unsat,2.570
2,unsat,39.085
3,unsat,33.861
4,unsat,80.004
5,unsat,11.918
6,unsat,25.737
7,unsat,2.428
8,unsat,573.299
9,unsat,2.740
10,unsat,10.631
11,unsat,149.288
12,unsat,2.292
13,unsat,2.865
14,sat,4.926
15,unsat,33.465
16,unsat,85.151
17,unsat,36.138
18,unknown,3600.698
19,unknown,3600.321
20,unsat,4.385
21,unsat,5.202
22,unsat,1606.658
23,unsat,46.307
24,sat,2.956
25,unsat,10.780
26,sat,292.747
27,unsat,2.524
28,sat,2.851
29,sat,4.456
30,unsat,308.583
31,unsat,14.269
32,unsat,34.678
33,unsat,42.804
34,unsat,6.281
35,unsat,230.569
36,unsat,54.214
37,unsat,2.899
38,unsat,34.860
39,unsat,1741.189
40,unsat,93.410
41,unsat,33.910
42,unsat,612.171
43,unsat,61.641
44,unsat,31.959
45,unsat,11.295
46,unsat,14.002
47,unsat,4.227
48,sat,44.221
49,unsat,8.688
50,unsat,27.113
