sample_index,status,elapsed_seconds
0,sat,5.280620
1,unsat,27.951801
2,unsat,3600.745080
3,timeout,3601.029947
4,sat,405.286153
5,unsat,141.196354
6,timeout,3601.290133
7,unsat,17.246482
8,sat,831.306640
9,unsat,192.898336
10,unsat,833.573538
11,sat,2292.999636
12,unsat,1.076208
13,unsat,703.441486
14,timeout,3601.005625
15,sat,138.441328
16,sat,680.055762
17,timeout,3601.029300
18,timeout,3600.906702
19,timeout,3600.902480
20,unsat,20.680112
21,unsat,487.522727
22,timeout,3600.928894
23,timeout,3600.926369
24,sat,1.655491
25,unsat,157.614862
26,timeout,3600.969317
27,unsat,1.123430
28,sat,1.871652
29,sat,197.368850
30,timeout,3600.935771
31,unsat,47.546741
32,timeout,3600.987902
33,timeout,3600.945923
34,unsat,916.199075
35,timeout,3600.951934
36,timeout,3601.046894
37,unsat,9.297048
38,timeout,3600.980622
39,sat,1.919718
40,sat,1092.464984
41,unsat,881.223341
42,sat,5.605036
43,timeout,3600.983096
44,timeout,3600.957023
45,unsat,996.193065
46,unsat,538.852368
47,unsat,54.523260
48,sat,1675.431462
49,unsat,345.627888
50,timeout,3600.957745
