sample_index,status,elapsed_seconds
0,sat,528.382451
1,timeout,3600.450319
2,timeout,3600.168891
3,timeout,3600.201369
4,timeout,3600.201064
5,timeout,3600.275826
6,timeout,3600.180689
7,unsat,135.670917
8,timeout,3600.178336
9,timeout,3600.167100
10,sat,2862.744878
11,timeout,3600.419018
12,unsat,35.617287
13,timeout,3600.375591
14,timeout,3600.171322
15,timeout,3600.372112
16,sat,1323.098658
17,sat,84.475222
18,sat,1.804316
19,timeout,3600.220555
20,unsat,352.591667
21,timeout,3600.256935
22,timeout,3600.468720
23,timeout,3600.375654
24,timeout,0.837047
25,sat,1.898720
26,timeout,3600.425551
27,unsat,30.293471
28,sat,1.603871
29,timeout,3600.174995
30,sat,175.053272
31,unsat,3030.780682
32,timeout,3600.526111
33,timeout,3600.256865
34,timeout,3600.395966
35,timeout,3600.197253
36,timeout,3600.206147
37,unsat,512.533253
38,sat,3303.452444
39,sat,1.000440
40,timeout,3600.221699
41,timeout,3600.241697
42,timeout,3600.170707
43,timeout,3600.544943
44,timeout,3600.168574
45,timeout,3600.916907
46,sat,150.751510
47,timeout,3600.239330
48,sat,2.313247
49,sat,4.711116
50,timeout,3600.168187
