sample_index,status,elapsed_seconds
0,unsat,47.508864
1,unsat,3.828590
2,unsat,3.606274
3,unsat,3.866699
4,unsat,10.066668
5,unsat,3.884732
6,unsat,3.787879
7,unsat,3.667069
8,unsat,120.130091
9,unsat,3.666815
10,unsat,3.728043
11,unsat,103.641309
12,unsat,3.591606
13,unsat,3.653771
14,sat,4.883033
15,unsat,3.656127
16,unsat,6.105637
17,unsat,3.852401
18,sat,3375.686003
19,unsat,126.637762
20,unsat,3.762318
21,unsat,3.528417
22,unsat,191.087061
23,unsat,3.514201
24,sat,4.037876
25,unsat,3.536797
26,sat,25.115745
27,unsat,3.677608
28,sat,4.112634
29,sat,4.347246
30,unsat,19.064808
31,unsat,3.758884
32,unsat,3.494031
33,unsat,6.078729
34,unsat,3.486830
35,unsat,8.321335
36,unsat,3.476433
37,unsat,3.483186
38,unsat,6.074859
39,unsat,1013.869507
40,unsat,3.588545
41,unsat,3.585944
42,unsat,339.567237
43,unsat,3.416454
44,unsat,3.468184
45,unsat,3.462357
46,unsat,3.382684
47,unsat,3.485471
48,sat,16.722568
49,unsat,3.472907
50,unsat,3.611371
