net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,4.671761
ACASXu_1_1.nnet,adversarial_1,SAT,4.371184
ACASXu_1_1.nnet,adversarial_2,SAT,4.070934
ACASXu_1_1.nnet,adversarial_3,SAT,4.972546
ACASXu_1_1.nnet,adversarial_4,SAT,4.571504
ACASXu_1_1.nnet,adversarial_5,SAT,4.772001
ACASXu_1_1.nnet,adversarial_6,SAT,4.421402
ACASXu_1_1.nnet,adversarial_7,SAT,4.722192
ACASXu_1_1.nnet,adversarial_8,SAT,4.721976
ACASXu_1_1.nnet,adversarial_9,SAT,4.571790
ACASXu_1_1.nnet,adversarial_10,SAT,4.872226
ACASXu_1_1.nnet,adversarial_11,SAT,4.671560
ACASXu_1_1.nnet,adversarial_12,SAT,4.671275
ACASXu_1_1.nnet,adversarial_13,SAT,4.621462
ACASXu_1_1.nnet,adversarial_14,SAT,4.471578
ACASXu_1_1.nnet,adversarial_15,SAT,4.371493
ACASXu_1_1.nnet,adversarial_16,SAT,4.671826
ACASXu_1_1.nnet,adversarial_17,SAT,4.671739
ACASXu_1_1.nnet,adversarial_18,SAT,4.521591
ACASXu_1_1.nnet,adversarial_19,SAT,4.671874
ACASXu_1_2.nnet,adversarial_0,UNSAT,8.076972
ACASXu_1_2.nnet,adversarial_1,UNSAT,6.073765
ACASXu_1_2.nnet,adversarial_2,UNSAT,5.322803
ACASXu_1_2.nnet,adversarial_3,TIMEOUT,1200.043526
ACASXu_1_2.nnet,adversarial_4,UNSAT,10.181186
ACASXu_1_2.nnet,adversarial_5,SAT,4.726778
ACASXu_1_2.nnet,adversarial_6,UNSAT,6.225447
ACASXu_1_2.nnet,adversarial_7,SAT,6.275051
ACASXu_1_2.nnet,adversarial_8,UNSAT,15.842128
ACASXu_1_2.nnet,adversarial_9,UNSAT,15.839698
ACASXu_1_2.nnet,adversarial_10,SAT,125.167711
ACASXu_1_2.nnet,adversarial_11,UNSAT,6.224850
ACASXu_1_2.nnet,adversarial_12,SAT,5.773720
ACASXu_1_2.nnet,adversarial_13,UNSAT,14.438245
ACASXu_1_2.nnet,adversarial_14,UNSAT,6.124254
ACASXu_1_2.nnet,adversarial_15,UNSAT,7.426160
ACASXu_1_2.nnet,adversarial_16,SAT,11.232464
ACASXu_1_2.nnet,adversarial_17,SAT,4.721831
ACASXu_1_2.nnet,adversarial_18,UNSAT,10.781670
ACASXu_1_2.nnet,adversarial_19,UNSAT,10.581343
ACASXu_1_3.nnet,adversarial_0,SAT,4.972297
ACASXu_1_3.nnet,adversarial_1,SAT,4.872250
ACASXu_1_3.nnet,adversarial_2,SAT,4.821857
ACASXu_1_3.nnet,adversarial_3,SAT,4.872176
ACASXu_1_3.nnet,adversarial_4,SAT,4.972166
ACASXu_1_3.nnet,adversarial_5,SAT,4.922412
ACASXu_1_3.nnet,adversarial_6,SAT,4.972033
ACASXu_1_3.nnet,adversarial_7,SAT,5.073873
ACASXu_1_3.nnet,adversarial_8,SAT,4.872078
ACASXu_1_3.nnet,adversarial_9,SAT,4.872072
ACASXu_1_3.nnet,adversarial_10,SAT,5.272493
ACASXu_1_3.nnet,adversarial_11,SAT,4.822310
ACASXu_1_3.nnet,adversarial_12,SAT,5.272824
ACASXu_1_3.nnet,adversarial_13,SAT,4.822365
ACASXu_1_3.nnet,adversarial_14,SAT,4.771935
ACASXu_1_3.nnet,adversarial_15,SAT,4.772433
ACASXu_1_3.nnet,adversarial_16,SAT,4.872181
ACASXu_1_3.nnet,adversarial_17,SAT,4.922300
