net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,4.070061
ACASXu_1_1.nnet,adversarial_1,SAT,3.870127
ACASXu_1_1.nnet,adversarial_2,SAT,3.770034
ACASXu_1_1.nnet,adversarial_3,SAT,3.870137
ACASXu_1_1.nnet,adversarial_4,SAT,3.769926
ACASXu_1_1.nnet,adversarial_5,SAT,3.820018
ACASXu_1_1.nnet,adversarial_6,SAT,3.669822
ACASXu_1_1.nnet,adversarial_7,SAT,3.920434
ACASXu_1_1.nnet,adversarial_8,SAT,3.970362
ACASXu_1_1.nnet,adversarial_9,SAT,4.270934
ACASXu_1_1.nnet,adversarial_10,SAT,4.371051
ACASXu_1_1.nnet,adversarial_11,SAT,4.671406
ACASXu_1_1.nnet,adversarial_12,SAT,3.870126
ACASXu_1_1.nnet,adversarial_13,SAT,3.920283
ACASXu_1_1.nnet,adversarial_14,SAT,3.820254
ACASXu_1_1.nnet,adversarial_15,SAT,3.770093
ACASXu_1_1.nnet,adversarial_16,SAT,3.770039
ACASXu_1_1.nnet,adversarial_17,SAT,4.321054
ACASXu_1_1.nnet,adversarial_18,SAT,4.270989
ACASXu_1_1.nnet,adversarial_19,SAT,3.770096
ACASXu_1_2.nnet,adversarial_0,UNSAT,4.921959
ACASXu_1_2.nnet,adversarial_1,UNSAT,4.721733
ACASXu_1_2.nnet,adversarial_2,UNSAT,4.320958
ACASXu_1_2.nnet,adversarial_3,UNSAT,5.172344
ACASXu_1_2.nnet,adversarial_4,UNSAT,3.770017
ACASXu_1_2.nnet,adversarial_5,UNSAT,3.669995
ACASXu_1_2.nnet,adversarial_6,UNSAT,3.770031
ACASXu_1_2.nnet,adversarial_7,UNSAT,4.621455
ACASXu_1_2.nnet,adversarial_8,UNSAT,4.571395
ACASXu_1_2.nnet,adversarial_9,UNSAT,9.529128
ACASXu_1_2.nnet,adversarial_10,UNSAT,5.673117
ACASXu_1_2.nnet,adversarial_11,UNSAT,88.551664
ACASXu_1_2.nnet,adversarial_12,UNSAT,5.021802
ACASXu_1_2.nnet,adversarial_13,UNSAT,4.370869
ACASXu_1_2.nnet,adversarial_14,UNSAT,3.820215
ACASXu_1_2.nnet,adversarial_15,SAT,4.821850
ACASXu_1_2.nnet,adversarial_16,UNSAT,4.521196
ACASXu_1_2.nnet,adversarial_17,SAT,4.521289
ACASXu_1_2.nnet,adversarial_18,UNSAT,4.922022
ACASXu_1_2.nnet,adversarial_19,UNSAT,4.270431
ACASXu_1_3.nnet,adversarial_0,SAT,4.671269
ACASXu_1_3.nnet,adversarial_1,SAT,4.821701
ACASXu_1_3.nnet,adversarial_2,SAT,4.371034
ACASXu_1_3.nnet,adversarial_3,SAT,4.821662
ACASXu_1_3.nnet,adversarial_4,SAT,4.521036
ACASXu_1_3.nnet,adversarial_5,SAT,4.521189
ACASXu_1_3.nnet,adversarial_6,SAT,4.477092
ACASXu_1_3.nnet,adversarial_7,SAT,4.671535
ACASXu_1_3.nnet,adversarial_8,SAT,4.671655
ACASXu_1_3.nnet,adversarial_9,SAT,4.671667
ACASXu_1_3.nnet,adversarial_10,SAT,4.621526
ACASXu_1_3.nnet,adversarial_11,SAT,4.921948
ACASXu_1_3.nnet,adversarial_12,SAT,4.671669
ACASXu_1_3.nnet,adversarial_13,SAT,4.621536
ACASXu_1_3.nnet,adversarial_14,SAT,4.621489
ACASXu_1_3.nnet,adversarial_15,SAT,4.521387
ACASXu_1_3.nnet,adversarial_16,SAT,4.521219
ACASXu_1_3.nnet,adversarial_17,SAT,4.771888
ACASXu_1_3.nnet,adversarial_18,SAT,4.571448
ACASXu_1_3.nnet,adversarial_19,SAT,4.671656
ACASXu_1_4.nnet,adversarial_0,UNSAT,5.923521
ACASXu_1_4.nnet,adversarial_1,UNSAT,5.823353
ACASXu_1_4.nnet,adversarial_2,UNSAT,4.671635
ACASXu_1_4.nnet,adversarial_3,UNSAT,5.522962
ACASXu_1_4.nnet,adversarial_4,UNSAT,4.070567
ACASXu_1_4.nnet,adversarial_5,UNSAT,4.721603
ACASXu_1_4.nnet,adversarial_6,UNSAT,5.022182
ACASXu_1_4.nnet,adversarial_7,UNSAT,5.322342
ACASXu_1_4.nnet,adversarial_8,UNSAT,5.372654
ACASXu_1_4.nnet,adversarial_9,SAT,4.772280
ACASXu_1_4.nnet,adversarial_10,UNSAT,5.022294
ACASXu_1_4.nnet,adversarial_11,SAT,10.380529
ACASXu_1_4.nnet,adversarial_12,UNSAT,5.072434
ACASXu_1_4.nnet,adversarial_13,UNSAT,3.970631
ACASXu_1_4.nnet,adversarial_14,UNSAT,3.720189
ACASXu_1_4.nnet,adversarial_15,UNSAT,5.623252
ACASXu_1_4.nnet,adversarial_16,UNSAT,5.272707
ACASXu_1_4.nnet,adversarial_17,SAT,4.872081
ACASXu_1_4.nnet,adversarial_18,UNSAT,6.925232
ACASXu_1_4.nnet,adversarial_19,UNSAT,4.822045
ACASXu_1_5.nnet,adversarial_0,SAT,4.471419
ACASXu_1_5.nnet,adversarial_1,SAT,4.421261
ACASXu_1_5.nnet,adversarial_2,SAT,4.421261
ACASXu_1_5.nnet,adversarial_3,SAT,4.421136
ACASXu_1_5.nnet,adversarial_4,SAT,4.221035
ACASXu_1_5.nnet,adversarial_5,SAT,4.221052
ACASXu_1_5.nnet,adversarial_6,SAT,4.270970
ACASXu_1_5.nnet,adversarial_7,SAT,4.321213
