net_name,property_id,query_result,elapsed_seconds
ACASXu_1_1.nnet,adversarial_0,SAT,4.157075
ACASXu_1_1.nnet,adversarial_1,SAT,2.804231
ACASXu_1_1.nnet,adversarial_2,SAT,2.586003
ACASXu_1_1.nnet,adversarial_3,SAT,2.921860
ACASXu_1_1.nnet,adversarial_4,SAT,2.902031
ACASXu_1_1.nnet,adversarial_5,SAT,2.843455
ACASXu_1_1.nnet,adversarial_6,SAT,2.808474
ACASXu_1_1.nnet,adversarial_7,SAT,2.957578
ACASXu_1_1.nnet,adversarial_8,SAT,2.888044
ACASXu_1_1.nnet,adversarial_9,SAT,2.756540
ACASXu_1_1.nnet,adversarial_10,SAT,2.972537
ACASXu_1_1.nnet,adversarial_11,SAT,3.396889
ACASXu_1_1.nnet,adversarial_12,SAT,2.986048
ACASXu_1_1.nnet,adversarial_13,SAT,2.928664
ACASXu_1_1.nnet,adversarial_14,SAT,2.938957
ACASXu_1_1.nnet,adversarial_15,SAT,3.095870
ACASXu_1_1.nnet,adversarial_16,SAT,3.879455
ACASXu_1_1.nnet,adversarial_17,SAT,3.816855
ACASXu_1_1.nnet,adversarial_18,SAT,3.493678
ACASXu_1_1.nnet,adversarial_19,SAT,3.503109
ACASXu_1_2.nnet,adversarial_0,UNSAT,4.045595
ACASXu_1_2.nnet,adversarial_1,UNSAT,3.480043
ACASXu_1_2.nnet,adversarial_2,UNSAT,3.057865
ACASXu_1_2.nnet,adversarial_3,UNSAT,59.696362
ACASXu_1_2.nnet,adversarial_4,UNSAT,4.584557
ACASXu_1_2.nnet,adversarial_5,SAT,2.991494
ACASXu_1_2.nnet,adversarial_6,UNSAT,2.836763
ACASXu_1_2.nnet,adversarial_7,SAT,2.858952
ACASXu_1_2.nnet,adversarial_8,UNSAT,8.159502
ACASXu_1_2.nnet,adversarial_9,UNSAT,12.462405
ACASXu_1_2.nnet,adversarial_10,SAT,56.103032
ACASXu_1_2.nnet,adversarial_11,UNSAT,4.025824
ACASXu_1_2.nnet,adversarial_12,SAT,3.175695
ACASXu_1_2.nnet,adversarial_13,UNSAT,5.754758
ACASXu_1_2.nnet,adversarial_14,UNSAT,3.166986
ACASXu_1_2.nnet,adversarial_15,UNSAT,3.093481
ACASXu_1_2.nnet,adversarial_16,SAT,2.994639
ACASXu_1_2.nnet,adversarial_17,SAT,2.813424
ACASXu_1_2.nnet,adversarial_18,UNSAT,4.844419
ACASXu_1_2.nnet,adversarial_19,UNSAT,5.013015
ACASXu_1_3.nnet,adversarial_0,SAT,2.829439
ACASXu_1_3.nnet,adversarial_1,SAT,2.930127
