sample_index,status,elapsed_seconds
0,skipped,1.833271
1,skipped,0.370719
2,unsat,4.540856
3,skipped,0.377251
4,sat,5.642358
5,skipped,0.375540
6,sat,40.727285
7,unsat,4.518587
8,unsat,4.501572
9,skipped,0.373890
10,sat,1506.800985
11,sat,23.094622
12,sat,7.535500
13,skipped,0.382721
14,sat,17.114304
15,sat,5.800414
16,timeout,3605.980832
17,sat,5.739097
18,skipped,0.372415
19,skipped,0.372935
20,skipped,0.367466
21,skipped,0.367532
22,timeout,3606.309926
23,sat,7.254398
24,sat,5.665477
25,skipped,0.370430
26,sat,145.955139
27,skipped,0.372101
28,timeout,3605.058134
29,skipped,0.374903
30,timeout,3605.010903
31,unsat,90.407250
32,unsat,4.448925
33,skipped,0.369655
34,skipped,0.364420
35,skipped,0.363461
36,skipped,0.365340
37,unsat,4.599961
38,skipped,0.382613
39,skipped,0.374629
40,skipped,0.372308
41,skipped,0.373936
42,skipped,0.373586
43,unsat,4.613650
44,timeout,3606.172949
45,unsat,4.500484
46,unsat,4.553527
47,skipped,0.369369
48,unsat,4.464999
49,sat,5.359266
50,skipped,0.368252
