sample_index,status,elapsed_seconds
0,skipped,1.798712
1,skipped,0.353930
2,unsat,4.450306
3,skipped,0.372939
4,sat,5.528776
5,skipped,0.369982
6,sat,2312.635774
7,unsat,4.520210
8,unsat,74.218769
9,skipped,0.379169
10,timeout,3605.489699
11,timeout,3605.600063
12,sat,110.081739
13,skipped,0.371103
14,timeout,3609.089941
15,sat,20.560557
16,timeout,3604.918457
17,sat,18.705980
18,skipped,0.377909
19,skipped,0.372266
20,skipped,0.374793
21,skipped,0.372439
22,timeout,3605.062527
23,timeout,3605.701639
24,sat,5.711939
25,skipped,0.384471
26,sat,424.703603
27,skipped,0.377654
28,timeout,3604.963271
29,skipped,0.376400
30,timeout,3605.072727
31,timeout,3604.996226
32,unsat,4.567714
33,skipped,0.370432
34,skipped,0.389158
35,skipped,0.370357
36,skipped,0.366724
37,unsat,89.437801
38,skipped,0.369991
39,skipped,0.365651
40,skipped,0.370074
41,skipped,0.369350
42,skipped,0.370543
43,unsat,4.550678
44,timeout,3604.940895
45,unsat,4.507940
46,unsat,4.563358
47,skipped,0.373359
48,unsat,3159.569050
49,sat,5.530167
50,skipped,0.387590
