sample_index,status,elapsed_seconds
0,skipped,1.842813
1,skipped,0.363033
2,unsat,4.501859
3,skipped,0.376651
4,sat,5.909330
5,skipped,0.376503
6,unsat,142.001776
7,unsat,4.499114
8,unsat,4.438295
9,skipped,0.371882
10,timeout,3631.970822
11,sat,14.283659
12,sat,5.922274
13,skipped,0.370218
14,unsat,4.533003
15,sat,5.933961
16,unsat,9.744490
17,sat,6.148421
18,skipped,0.378339
19,skipped,0.375623
20,skipped,0.366702
21,skipped,0.367074
22,sat,1709.181562
23,sat,1284.532250
24,sat,5.580453
25,skipped,0.374818
26,unsat,99.801663
27,skipped,0.389413
28,sat,50.075899
29,skipped,0.377865
30,unsat,4.469930
31,unsat,4.485338
32,unsat,4.475518
33,skipped,0.371871
34,skipped,0.366876
35,skipped,0.366360
36,skipped,0.367770
37,unsat,4.485657
38,skipped,0.377393
39,skipped,0.368910
40,skipped,0.367991
41,skipped,0.366141
42,skipped,0.384834
43,unsat,4.515033
44,unsat,73.947013
45,unsat,4.534309
46,unsat,4.710661
47,skipped,0.375592
48,unsat,4.603310
49,sat,5.952523
50,skipped,0.375096
