sample_index,status,elapsed_seconds
0,skipped,10.754310
1,skipped,0.341972
2,unsat,51.720625
3,skipped,0.357311
4,sat,2.070709
5,skipped,0.364270
6,sat,110.742870
7,unsat,12.142149
8,unsat,848.021351
9,skipped,126.739278
10,timeout,3603.278520
11,timeout,3601.190776
12,sat,1826.163575
13,skipped,0.407932
14,timeout,3600.587903
15,sat,149.228097
16,timeout,3603.938560
17,sat,174.877621
18,skipped,0.400744
19,skipped,0.392626
20,skipped,0.391857
21,skipped,0.399531
22,timeout,3602.078710
23,timeout,3600.576440
24,sat,2.689552
25,skipped,0.407814
26,sat,3285.793357
27,skipped,0.392480
28,timeout,3602.455945
29,skipped,0.387751
30,timeout,3600.927249
31,timeout,3601.843528
32,unsat,8.624581
33,skipped,0.412992
34,skipped,0.422012
35,skipped,0.413761
36,skipped,0.410061
37,unsat,5447.746162
38,skipped,0.401227
39,skipped,0.414445
40,skipped,0.408723
41,skipped,0.407372
42,skipped,0.406050
43,unsat,194.806133
44,timeout,10001.713189
45,unsat,6.907180
46,unsat,71.122406
47,skipped,0.411242
48,timeout,10009.430407
49,sat,1509.164312
50,skipped,0.401608
