sample_index,status,elapsed_seconds
0,skipped,1.824450
1,skipped,0.340100
2,unsat,1.757843
3,skipped,0.375783
4,sat,2.469284
5,skipped,0.389595
6,unsat,527.551919
7,unsat,1.079455
8,unsat,5.823225
9,skipped,0.400865
10,timeout,3657.513097
11,sat,50.327758
12,sat,13.120195
13,skipped,0.398920
14,unsat,444.162328
15,sat,7.077049
16,unsat,153.660602
17,sat,9.072998
18,skipped,0.397400
19,skipped,0.407994
20,skipped,0.398310
21,skipped,0.398067
22,sat,1173.684519
23,timeout,3604.733557
24,sat,2.176099
25,skipped,0.402047
26,sat,105.187128
27,skipped,0.409156
28,sat,188.401285
29,skipped,0.406573
30,unsat,460.491000
31,unsat,87.863953
32,unsat,1.080434
33,skipped,0.399516
34,skipped,0.397258
35,skipped,0.395991
36,skipped,0.395688
37,unsat,1.075569
38,skipped,0.400294
39,skipped,0.398444
40,skipped,0.399413
41,skipped,0.397316
42,skipped,0.397463
43,unsat,1.083899
44,unsat,529.469657
45,unsat,1.077238
46,unsat,1.079217
47,skipped,0.400671
48,unsat,5.949455
49,sat,3.987393
50,skipped,0.407591
