sample_index,status,elapsed_seconds
0,skipped,1.841053
1,skipped,0.351631
2,unsat,1.573449
3,skipped,0.366685
4,sat,2.334613
5,skipped,0.391444
6,sat,122.335907
7,unsat,3.288232
8,unsat,66.896625
9,skipped,0.400312
10,timeout,3601.034088
11,sat,113.224619
12,sat,34.607881
13,skipped,0.399582
14,sat,25.513988
15,sat,14.167732
16,timeout,3601.217460
17,sat,9.253098
18,skipped,0.398492
19,skipped,0.408554
20,skipped,0.403872
21,skipped,0.403342
22,timeout,3604.367869
23,sat,382.236946
24,sat,2.449899
25,skipped,0.398995
26,sat,182.394700
27,skipped,0.406308
28,timeout,3601.341787
29,skipped,0.399770
30,timeout,3610.458293
31,unsat,1071.672193
32,unsat,1.097318
33,skipped,0.405469
34,skipped,0.406718
35,skipped,0.403718
36,skipped,0.402891
37,unsat,111.567475
38,skipped,0.399008
39,skipped,0.405405
40,skipped,0.405461
41,skipped,0.407947
42,skipped,0.405419
43,unsat,33.739099
44,sat,565.061392
45,unsat,4.312218
46,unsat,1.090854
47,skipped,0.407590
48,unsat,216.225434
49,sat,14.910579
50,skipped,0.401060
